0,3894,1816,2515,2910,2646,3058,4778,2735,4226,3119,1102,1487,3121,3065,3851,2511,4735,3351,4227,5747,1074,1223,2544,2541,2809,3218,3210,4103,1785,1811,1516,348,1121,4662,1801,2213,2451,3092,1410,3241, 
3748,0,2585,1780,2446,3162,2479,855,1941,721,940,3232,2473,2292,2470,2844,1810,3690,566,1658,3736,3241,2734,1680,1366,1842,1538,855,2260,3095,3652,3205,3415,2871,2468,2157,2319,2384,1834,3441,2752, 
1984,2556,0,776,1154,1732,1117,3440,854,2402,1616,972,698,1365,1272,2041,1111,2924,2013,2488,3792,817,795,1576,1572,2219,2697,1872,2348,1523,1759,1472,1652,1138,2906,1101,782,2640,1439,1051,1749, 
2628,1780,804,0,808,1715,1063,2665,262,1626,841,1657,1182,1019,1054,1737,650,2620,1238,1712,3290,1460,1443,1142,1139,1520,1956,1096,1556,2007,2223,2035,2295,1782,2114,1301,1463,2179,978,1660,1645, 
3256,2223,1161,814,0,1024,340,2318,1158,1770,1284,2318,1716,211,332,1085,1415,1969,1680,1558,2638,2119,2440,1907,1327,1963,2399,1539,1194,2540,2988,3025,2923,2316,1752,2066,1607,2944,1743,1791,993, 
2713,3158,1095,1378,885,0,546,3361,1456,2812,2219,1775,2160,1096,554,1021,1714,1905,2616,2601,2917,1809,1897,2205,2202,2848,3326,2474,1987,2752,2756,2482,2380,2246,2373,1859,1540,3242,2041,1482,730, 
3140,2479,1124,1070,340,956,0,2658,1121,2110,1539,2203,1678,552,263,1141,1378,2024,1936,1899,2978,2082,2324,1870,1582,2218,2655,1795,1534,2503,2951,2909,2807,2673,2092,2029,1570,2907,1706,1754,849, 
4636,852,2900,2096,2320,3205,2522,0,2357,548,1565,4120,3360,2166,2513,2718,2698,3542,1453,1510,4298,3556,3622,2568,2253,2730,2425,1743,2297,3983,4539,4093,4302,3759,2320,3045,3207,3271,2722,3756,2626, 
2583,2023,975,262,1069,1885,1325,2907,0,2356,1083,2067,1308,1280,1316,1998,341,2882,1480,1974,3552,1631,1569,833,830,1476,1954,1339,1818,1960,1914,2040,2249,1706,2376,992,1154,1870,669,1830,2202, 
4176,721,2352,1548,1772,2657,1974,548,1809,0,1078,3204,2730,1618,1965,2170,2198,2969,871,937,3015,3008,2991,2002,1688,2147,1843,1177,1724,3417,3402,3527,3843,3193,1747,2479,2641,2689,2156,3208,2078, 
3149,940,1645,841,1284,2222,1539,1824,1002,1115,0,2633,1873,1495,1530,2004,1491,2888,397,1830,3557,2301,2135,1081,766,1080,1116,256,1674,2496,2480,2606,2815,2272,2233,1558,1720,1961,1235,2501,1912, 
1195,3169,972,1671,2066,1802,2214,4053,2011,3502,2394,0,571,2277,2221,3007,2007,3891,2626,3383,4903,415,307,1820,1816,2463,2941,2485,3260,1029,1737,760,862,464,3818,1076,1488,2672,2335,1112,2397, 
1482,2533,669,1293,1786,2187,1748,3418,1115,2866,1759,571,0,1997,1844,3392,1151,4276,1991,3005,5288,800,261,1184,1181,1828,2306,1849,2979,871,1107,951,1148,605,3538,440,853,2037,1479,1401,2782, 
3467,2288,1372,840,211,1235,552,2164,1369,1616,1310,2529,1927,0,543,931,1626,1815,1745,1405,2484,2330,2651,2118,1353,1989,2479,1772,1040,2751,3199,3236,3134,2527,1598,2277,1818,3155,1954,2003,839, 
3167,2470,1276,1061,332,692,263,2650,1404,2101,1530,2230,1830,543,0,878,1662,1761,1927,1890,2773,2109,2352,1888,1573,2209,2646,1786,1525,2655,2938,2937,2835,2700,2084,2041,1722,3190,1989,1936,586, 
3635,2817,1971,1902,1091,1160,1141,2694,2379,2145,2202,2698,3083,937,878,0,2636,884,2274,1786,1896,2731,2819,3127,2259,3313,3009,2302,966,3674,3633,3404,3302,3168,1352,2736,2417,3855,2963,2404,291, 
2242,1841,1421,1015,1759,2374,1722,2725,706,2173,1066,1726,966,1970,2048,2982,0,3866,1298,2706,4397,2121,1228,491,488,1135,1613,1157,2551,1619,1573,1699,1908,1365,3109,651,813,1529,327,2321,2691, 
4518,3701,2855,2786,1975,2043,2024,3549,3262,2969,3086,3581,3966,1821,1761,884,3519,0,3158,2383,1017,3615,3703,4011,3143,4197,3892,3185,1150,4558,4517,4288,4186,4051,1082,3620,3301,4738,3847,3287,1175, 
3206,566,2042,1238,1904,2619,1936,1450,1398,871,397,2689,1930,1750,1927,2302,1268,3185,0,1808,3854,2698,2191,1137,823,1299,995,312,1972,2552,3109,2662,2872,2328,2530,1614,1776,1841,1291,2898,2209, 
4182,1673,2359,1554,1519,2664,1980,1642,1816,1094,1854,3211,2736,1365,1972,1549,2204,2286,1926,0,2771,3015,2997,2381,2067,2965,2661,1954,1039,3561,3777,3589,3849,3336,1503,2855,3017,3507,2532,3214,1951, 
6150,3736,3799,3449,2638,3065,2978,3596,3796,3015,3748,5213,4353,2484,2782,1905,4053,1020,3821,2430,0,5247,5335,4545,3806,4860,4555,3848,1810,5178,5626,5920,5818,5683,1404,4704,4245,5401,4381,4919,2196, 
1167,3351,920,1570,2223,1959,2371,4235,1649,3197,2411,415,800,2434,2378,3164,1906,4048,2808,3282,5060,0,536,2279,2276,2922,3400,2667,3416,1378,2433,1109,835,855,3975,1535,1948,3073,2234,336,2554, 
1317,2796,795,1555,2187,1924,2335,3681,1638,3129,2022,307,261,2399,2343,3129,1414,4013,2254,3267,5025,536,0,1447,1444,2091,2569,2113,3381,957,1369,688,984,419,3939,703,1116,2300,1742,1123,2519, 
2399,1680,1579,1173,1917,2531,1879,2565,864,2013,906,1883,1124,2128,1888,2571,574,3454,1137,2546,4124,2279,1385,0,324,652,975,996,2390,1746,1730,1856,2066,1522,2948,808,970,936,485,2479,2849, 
2396,1366,1575,1169,1327,2528,1582,2250,860,1698,591,1880,1121,1538,1573,2256,653,3139,823,2231,3809,2276,1382,328,0,686,1004,682,2076,1743,1727,1853,2062,1519,2634,805,967,1036,482,2475,2164, 
2906,1869,2222,1816,1963,3175,2523,2754,1507,2227,1080,2526,1767,2753,2209,3305,1248,4189,1263,3131,4858,2922,2028,652,686,0,378,1044,2975,2071,1754,2099,2709,2165,3534,1451,1613,412,1128,3122,3213, 
3328,1499,2600,1858,2301,3553,2556,2383,1885,1856,1017,2905,2145,2383,2547,2935,1627,3818,893,2760,4487,3300,2407,975,1004,378,0,665,2605,2449,2176,2477,3087,2544,3163,1830,1992,753,1506,3500,2843, 
3064,855,1901,1096,1539,2478,1795,1739,1529,1188,256,2548,1789,1714,1786,2266,1127,3150,312,2092,3819,2557,2050,996,682,1170,665,0,1936,2411,2395,2521,2731,2187,2494,1473,1635,1545,1150,2757,2174, 
4449,2118,2355,1966,1194,2218,1534,2160,2352,1579,2304,3512,2909,1040,1525,966,2609,1150,2377,725,1810,3313,3634,3100,2362,3415,3111,2404,0,3734,4182,4219,4117,3510,609,3260,2801,3957,2936,2985,1500, 
1881,3095,1494,2118,2610,2779,2573,3980,1959,3428,2321,982,871,2821,2669,3984,1735,4867,2552,3830,5879,1378,957,1746,1743,2028,2407,2411,3804,0,787,270,1148,606,4362,1002,1415,1714,1604,1714,3374,
1909,3036,1695,2186,2930,3081,2893,3920,1878,3369,2261,1493,1072,3142,2895,3664,1654,4548,2493,3899,5568,2227,1334,1687,1683,1726,2135,2352,3743,752,0,780,1923,1117,4301,1011,1334,1369,1523,2427,3373,
1611,3218,1486,2146,2773,2509,2921,4103,1987,3551,2444,713,899,2984,2928,3714,1763,4598,2676,3858,5610,1109,688,1869,1866,2057,3062,2534,3967,270,816,0,878,336,4525,1125,1538,1742,1632,1445,3104,
333,4433,1814,2514,2908,2645,3056,5318,3275,4766,3659,1100,1485,3119,3064,3850,3051,4734,3946,4226,5745,1073,1222,2934,3081,2637,3046,3749,4102,1614,1639,1344,0,1309,4660,1989,2402,2279,2920,1409,3240,
994,2950,1217,1972,2504,2240,2652,3834,1792,3283,2175,459,726,2715,2659,3446,1567,4329,2407,3684,5341,855,419,1601,1597,2244,2722,2266,3698,606,1152,336,642,0,4256,857,1269,2595,1895,1192,2835,
5008,2468,2913,2716,1752,2512,2092,2327,2910,1747,2863,4070,3467,1598,2084,1352,3167,1082,2618,1162,1404,3871,4192,3659,3228,3974,3669,2962,609,4292,4740,4777,4675,4068,0,3818,3359,4515,3495,3543,1643,
1655,2157,1002,1308,1927,2223,1890,3042,999,2490,1383,1139,380,2138,2038,2807,775,3691,1614,3020,4702,1535,641,808,805,1451,1930,1473,3121,1002,1137,1112,1322,778,3679,0,477,1567,1103,1735,2516,
